event_index,time_s,event,robot,message,details_json
21,3.4,goal_assigned,Drone 4,"Assigned coverage-frontier goal at (7.50, 7.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 7.5, ""goal_y"": 7.5, ""score"": -40.4988}"
22,3.4,replan,Drone 4,Replanned path with 4 points (goal update),"{""path_length"": 10.189}"
23,4.25,goal_assigned,Drone 2,"Assigned coverage-fill goal at (20.50, 8.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 20.5, ""goal_y"": 8.5, ""score"": null}"
24,4.25,goal_reached,Drone 2,"Reached coverage-fill at (20.50, 8.50)",
25,4.3,goal_assigned,Drone 2,"Assigned coverage-frontier goal at (21.50, 17.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 21.5, ""goal_y"": 17.5, ""score"": -31.5549}"
26,4.3,replan,Drone 2,Replanned path with 3 points (goal update),"{""path_length"": 8.89}"
27,4.6,goal_assigned,Drone 3,"Assigned coverage-fill goal at (18.50, 10.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 18.5, ""goal_y"": 10.5, ""score"": null}"
28,4.6,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 1.394}"
29,4.7,replan,Drone 1,Replanned path with 4 points (goal blocked),"{""path_length"": 7.741}"
30,5.15,goal_assigned,Drone 3,"Assigned coverage-fill goal at (17.50, 10.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 17.5, ""goal_y"": 10.5, ""score"": null}"
31,5.15,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 1.845}"
32,5.95,replan,Drone 2,Replanned path with 3 points (goal blocked),"{""path_length"": 6.894}"
33,6.0,goal_assigned,Drone 3,"Assigned coverage-fill goal at (16.50, 10.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 16.5, ""goal_y"": 10.5, ""score"": null}"
34,6.0,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 1.97}"
35,6.25,replan,Drone 1,Replanned path with 4 points (goal blocked),"{""path_length"": 5.866}"
36,7.0,goal_assigned,Drone 3,"Assigned coverage-fill goal at (16.50, 9.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 16.5, ""goal_y"": 9.5, ""score"": null}"
37,7.0,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 1.288}"
38,7.45,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 0.966}"
39,7.5,replan,Drone 2,Replanned path with 3 points (goal blocked),"{""path_length"": 5.328}"
40,7.5,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 0.916}"
41,7.5,goal_reached,Drone 3,"Reached coverage-fill at (16.50, 9.50)",
42,7.55,goal_assigned,Drone 3,"Assigned coverage-frontier goal at (9.50, 13.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 9.5, ""goal_y"": 13.5, ""score"": -41.1664}"
